Date,Name,SubDept,Department,Revenue,Cost,GP,Qty,Year,Week,Month,DOW
2026-03-26,AVOCADO PER EACH,Fruit,FRUIT & VEG,57.36,33.4296,23.9304,24.0,2026,2026-03-23,2026-03-01,Thursday
2026-03-27,AVOCADO PER EACH,Fruit,FRUIT & VEG,59.75,34.8225,24.927500000000002,25.0,2026,2026-03-23,2026-03-01,Friday
2026-03-28,AVOCADO PER EACH,Fruit,FRUIT & VEG,31.07,18.1077,12.962299999999999,13.0,2026,2026-03-23,2026-03-01,Saturday
2026-03-31,AVOCADO PER EACH,Fruit,FRUIT & VEG,57.36,33.4296,23.9304,24.0,2026,2026-03-30,2026-03-01,Tuesday
2026-04-01,AVOCADO PER EACH,Fruit,FRUIT & VEG,76.48,44.5728,31.907200000000003,32.0,2026,2026-03-30,2026-04-01,Wednesday
2026-04-02,AVOCADO PER EACH,Fruit,FRUIT & VEG,200.04,117.0036,83.03639999999999,84.0,2026,2026-03-30,2026-04-01,Thursday
2026-04-04,AVOCADO PER EACH,Fruit,FRUIT & VEG,19.12,11.1432,7.976800000000001,8.0,2026,2026-03-30,2026-04-01,Saturday
2026-04-07,AVOCADO PER EACH,Fruit,FRUIT & VEG,7.17,4.1787,2.9913,3.0,2026,2026-04-06,2026-04-01,Tuesday
2026-04-08,AVOCADO PER EACH,Fruit,FRUIT & VEG,14.34,8.3574,5.9826,6.0,2026,2026-04-06,2026-04-01,Wednesday
2026-04-09,AVOCADO PER EACH,Fruit,FRUIT & VEG,26.29,15.3219,10.9681,11.0,2026,2026-04-06,2026-04-01,Thursday
2026-04-10,AVOCADO PER EACH,Fruit,FRUIT & VEG,64.53,37.6083,26.9217,27.0,2026,2026-04-06,2026-04-01,Friday
2026-04-11,AVOCADO PER EACH,Fruit,FRUIT & VEG,35.85,20.8935,14.956500000000002,15.0,2026,2026-04-06,2026-04-01,Saturday
2026-04-13,AVOCADO PER EACH,Fruit,FRUIT & VEG,49.95,29.2509,20.6991,21.0,2026,2026-04-13,2026-04-01,Monday
2026-04-14,AVOCADO PER EACH,Fruit,FRUIT & VEG,45.41,26.4651,18.944899999999997,19.0,2026,2026-04-13,2026-04-01,Tuesday
2026-04-15,AVOCADO PER EACH,Fruit,FRUIT & VEG,26.29,15.3219,10.9681,11.0,2026,2026-04-13,2026-04-01,Wednesday
2026-04-16,AVOCADO PER EACH,Fruit,FRUIT & VEG,26.29,15.3219,10.9681,11.0,2026,2026-04-13,2026-04-01,Thursday
2026-04-17,AVOCADO PER EACH,Fruit,FRUIT & VEG,83.65,48.7515,34.898500000000006,35.0,2026,2026-04-13,2026-04-01,Friday
2026-04-18,AVOCADO PER EACH,Fruit,FRUIT & VEG,2.39,1.3929,0.9971000000000001,1.0,2026,2026-04-13,2026-04-01,Saturday
2026-04-20,AVOCADO PER EACH,Fruit,FRUIT & VEG,53.19,30.9645,22.225499999999997,21.0,2026,2026-04-20,2026-04-01,Monday
2026-04-21,AVOCADO PER EACH,Fruit,FRUIT & VEG,95.83,55.5,40.33,37.0,2026,2026-04-20,2026-04-01,Tuesday
2026-04-22,AVOCADO PER EACH,Fruit,FRUIT & VEG,79.77,46.5,33.269999999999996,31.0,2026,2026-04-20,2026-04-01,Wednesday
2026-04-23,AVOCADO PER EACH,Fruit,FRUIT & VEG,33.67,19.5,14.170000000000002,13.0,2026,2026-04-20,2026-04-01,Thursday
2026-04-24,AVOCADO PER EACH,Fruit,FRUIT & VEG,85.21,49.5,35.709999999999994,33.0,2026,2026-04-20,2026-04-01,Friday
2026-04-27,AVOCADO PER EACH,Fruit,FRUIT & VEG,78.01,45.6432,32.366800000000005,31.0,2026,2026-04-27,2026-04-01,Monday
2026-04-28,AVOCADO PER EACH,Fruit,FRUIT & VEG,2.4,1.4286,0.9713999999999998,1.0,2026,2026-04-27,2026-04-01,Tuesday
2026-04-29,AVOCADO PER EACH,Fruit,FRUIT & VEG,26.4,15.7146,10.685399999999998,11.0,2026,2026-04-27,2026-04-01,Wednesday
2026-04-30,AVOCADO PER EACH,Fruit,FRUIT & VEG,26.4,15.7146,10.685399999999998,11.0,2026,2026-04-27,2026-04-01,Thursday
2026-05-01,AVOCADO PER EACH,Fruit,FRUIT & VEG,50.16,30.0006,20.159399999999998,21.0,2026,2026-04-27,2026-05-01,Friday
2026-05-02,AVOCADO PER EACH,Fruit,FRUIT & VEG,14.4,8.5716,5.8284,6.0,2026,2026-04-27,2026-05-01,Saturday
2026-05-04,AVOCADO PER EACH,Fruit,FRUIT & VEG,42.43,24.9644,17.4656,18.0,2026,2026-05-04,2026-05-01,Monday
2026-05-05,AVOCADO PER EACH,Fruit,FRUIT & VEG,80.15,46.249,33.901,35.0,2026,2026-05-04,2026-05-01,Tuesday
2026-05-06,AVOCADO PER EACH,Fruit,FRUIT & VEG,50.38,29.0708,21.309200000000004,22.0,2026,2026-05-04,2026-05-01,Wednesday
2026-05-07,AVOCADO PER EACH,Fruit,FRUIT & VEG,19.12,11.3216,7.798400000000001,8.0,2026,2026-05-04,2026-05-01,Thursday
2026-05-08,AVOCADO PER EACH,Fruit,FRUIT & VEG,104.33,60.0012,44.3288,42.0,2026,2026-05-04,2026-05-01,Friday
