PLU,Name
9.33072E+12,H/FRESH SHREDDED LETTUCE 200G
9.33072E+12,HI FRESH COLESLAW 1KG
9.33125E+12,NAKED LETTUCE TWIN BABY COS LETTUCE
9.33234E+12,BABY WOMBOK CHINESE CABBAGE
9.33234E+12,CABBAGE - SUGARLOAF BABY EACH
9.33234E+12,LEEKS 300G P/PACK
9.33448E+12,SWEETCORN PREPACK
9.33513E+12,PERFECT  SALAD MIX PACK 120G
9.33557E+12,LETTUCE BABY COS  TWIN PACK
9.33575E+12,STRAWBERRIES PUNNET 375G
9.33744E+12,MUSHROOMS - SLICED  200G PREPACK
9.33744E+12,MUSHROOMS - SLICED 500G
9.33956E+12,LK PASTA SALAD 250G
9.33956E+12,LK POTATO SALAD 250G
9.33956E+12,LK POT/EGG/BACON SALAD 250G
9.33956E+12,L/C LENTIL CHICKPEA TABBOULEH
9.33956E+12,LK COLESLAW SALAD 250G
9.33956E+12,LK PASTA SALAD 800G
9.33956E+12,LK POTATO SALAD 800G
9.33956E+12,LK COLESLAW SALAD 800G
9.33956E+12,LK KALESLAW KIT 350GM
9.33956E+12,L/C CRISP COLESLAW
9.33956E+12,LK CAESAR BOWL 250GM
9.33956E+12,LK MAC N CHEESE 250G
9.33956E+12,LK GREEN GOODNESS  CRUNCH KIT 350G
9.33956E+12,L/C CAESAR BOWL
9.34019E+12,CUCUMBER BABY LEBANESE P/PACK 250GMS
9.34019E+12,TOMATOES - MINI ROMA 200GM PUNNET
9.34019E+12,TOMATOES - RAINBOW TOMATO MEDLEY 250GMS
9.34096E+12,TOMATOES - CHERRY SAMPARI TRUSS 250G
9.34437E+12,CREAT/GOURM P/FRUIT CUBE 400GM
9.34437E+12,CREAT/GOURM DRAGON FRT   400GM
9.34592E+12,MANDARINS - PICK ME 8PK
9.34592E+12,P/PICK TANGELOS 1.5KG
9.34611E+12,FIGS - PRE PACK FIGS 300G
9.35733E+12,ASPARAGUS PER BUNCH
9.35861E+12,LETTUCE BAGGED PER EACH
9.35874E+12,BOWLSOME CHICKEN CAESAR 225G
9.35874E+12,BOWLSOME ASIAN BEEF SALAD 290G
9.35874E+12,BOWLSOME LEMONGRASS CHICK NOODLE 330G
9.35937E+12,APRICOTS - 500G P/P
9.37E+12,BOWLSOME ROASTED HARVEST 350G
9.37E+12,BOWLSOME ASIAN CHICKEN SLAW 290G
9.37E+12,BOWLSOME MIDDLE EASTERN 300GM
9.37E+12,SWEET CORN PRE PACK 500GMS
9.41584E+12,KIWI FRUIT 600GM P/PACK
9.41584E+12,KIWI FRUIT 450GM P/PACK
9.42102E+12,KIWIBERRIES PUNNET 125G
,FRUIT AND VEG
,GARLIC - P/PACK CLOVES 80G
